(mChi, mPhi)         xsec                 s95(exp)             s95(obs)            
(10, 100)            1981.002891          0.1094450            0.1135844
(10, 300)            27.72093818          0.1085754            0.1118142
(100, 300)           21.0888169           0.1068400            0.1105652
(200, 300)           14.46820016          0.1027042            0.1069510
(10, 400)            8.782172702          0.1072759            0.1110270
(100, 400)           6.888270983          0.1060581            0.1096404
(200, 400)           4.861236276          0.0900371            0.1092043
(300, 400)           3.500422343          0.1030505            0.1070773
(10, 500)            3.537828275          0.1040215            0.1076531
(100, 500)           2.840752454          0.1025998            0.1065014
(200, 500)           2.048750868          0.1084742            0.1125979
(300, 500)           1.489624904          0.1086886            0.1120484
(400, 500)           1.115367876          0.1038633            0.1079236
(10, 700)            0.9087767419         0.1076951            0.1108111
(100, 700)           0.7331688653         0.1008613            0.1042867
(200, 700)           0.542835097          0.1019186            0.1056429
(300, 700)           0.4003331228         0.1009723            0.1045324
(400, 700)           0.2987089937         0.1067780            0.1102754
(500, 700)           0.2287654197         0.1067911            0.1108322
(600, 700)           0.1775571476         0.1061099            0.1091145
(10, 1000)           0.21519616198        0.1042542            0.1082579
(100, 1000)          0.1745815638         0.1053601            0.1093807
(200, 1000)          0.12989838764        0.1064214            0.1095752
(300, 1000)          0.09566543642        0.1051103            0.1090304
(400, 1000)          0.07154932652        0.1074652            0.1117111
(500, 1000)          0.05453243965        0.1036624            0.1081533
(600, 1000)          0.041878281          0.1036958            0.1076660
(700, 1000)          0.03258675156        0.1053860            0.1081896
(800, 1000)          0.02585125495        0.1101030            0.1140772
(10, 1200)           0.10416242633        0.1017183            0.1057537
(100, 1200)          0.08402970375        0.0887706            0.1081986
(200, 1200)          0.06230816031        0.0874308            0.1066255
(300, 1200)          0.04614408207        0.1097981            0.1137070
(400, 1200)          0.03446232613        0.1044717            0.1077500
(500, 1200)          0.02593917412        0.1085737            0.1120563
(600, 1200)          0.01981200971        0.1075076            0.1121398
(700, 1200)          0.01526074656        0.1040164            0.1078440
(800, 1200)          0.01193095733        0.1050086            0.1093166
(1000, 1200)         0.00752312602        0.1041446            0.1074109
(10, 1400)           0.056459653193       0.1087827            0.1125419
(100, 1400)          0.045950249736       0.1087393            0.1130920
(200, 1400)          0.033818442454       0.1091660            0.1113335
(300, 1400)          0.024918601434       0.1095663            0.1133946
(400, 1400)          0.01847042859        0.1080580            0.1121318
(500, 1400)          0.013848316091       0.0987569            0.1021453
(600, 1400)          0.01048509601        0.1119851            0.1156330
(700, 1400)          0.008005787767       0.1069816            0.1103582
(800, 1400)          0.006194822745       0.1068459            0.1104670
(1000, 1400)         0.003804149652       0.1109455            0.1148404
(1200, 1400)         0.002421301057       0.1079150            0.1108742
(10, 1500)           0.042989099759       0.1027266            0.1067493
(100, 1500)          0.035241159143       0.1062637            0.1098050
