# analysis name               signal region                                               sig95(exp)     sig95(obs)        ||    efficiency     stat           
atlas_exot_2016_27            EM1                                                         4.5234117      4.5941266       ||    0.0278000      0.0015685      
atlas_exot_2016_27            EM2                                                         0.3723526      0.5613065       ||    0.0432000      0.0019398      
atlas_exot_2016_27            EM3                                                         0.9898804      1.6212169       ||    0.0524000      0.0021260      
atlas_exot_2016_27            EM4                                                         0.3003052      0.3358068       ||    0.1139000      0.0030311      
atlas_exot_2016_27            EM5                                                         0.1291631      0.1842368       ||    0.0883000      0.0027071      
atlas_exot_2016_27            EM6                                                         0.1050782      0.1750942       ||    0.0488000      0.0020556      
atlas_exot_2016_27            EM7                                                         0.1026009      0.1445411       ||    0.0250000      0.0014896      
atlas_exot_2016_27            EM8                                                         0.0923089      0.1601672       ||    0.0172000      0.0012405      
atlas_exot_2016_27            EM9                                                         0.0969298      0.1185411       ||    0.0100000      0.0009493      
atlas_exot_2016_27            IM1                                                         0.7209121      1.2192087       ||    0.4370999      0.0047326      
atlas_exot_2016_27            IM2                                                         0.4518230      0.8083130       ||    0.4093000      0.0046914      
atlas_exot_2016_27            IM3                                                         0.2833617      0.5280883       ||    0.3660999      0.0045963      
atlas_exot_2016_27            IM4                                                         0.1759014      0.2932440       ||    0.3137000      0.0044270      
atlas_exot_2016_27            IM5                                                         0.0973496      0.2148123       ||    0.1998000      0.0038150      
atlas_exot_2016_27            IM6                                                         0.0849654      0.1748816       ||    0.1115000      0.0030030      
atlas_exot_2016_27            IM7                                                         0.0868146      0.1232633       ||    0.0627000      0.0023130      
atlas_exot_2016_27            IM8                                                         0.0912103      0.1331523       ||    0.0377000      0.0018173      
atlas_exot_2016_27            IM9                                                         0.1078199      0.1113543       ||    0.0205000      0.0013520      
atlas_exot_2016_27            IM10                                                        0.1449547      0.1588159       ||    0.0105000      0.0009725      

